Class of,College,IPED,Admission Decision,GPA,SAT Single,SAT Super,SAT CR,SAT M,__ SAT W,ACT,Sub Test 1,Sub Test 2,Major,AP/IB/Coll,Honors,App Deadline,Home State,HS Level,Merit Scholarship,URM
2017,Syracuse University,196413,Accepted  ,3.64,,,,,,,,,Biology  ,10,4,,WA, PubR,,
2019,Syracuse University,196413,Accepted  ,3.4,,,,,,30,,,Business   ,0,6,,NJ, PubR,,
2018,Syracuse University,196413,Accepted  ,3.4,,1320,690,630,,,,,Undecided - Liberal Arts & Sciences,0,1,EA  ,CT, PubR,,checked
2018,Syracuse University,196413,Accepted  ,3.24,,,,,,28,,,Pre - Med,12,14,,CA, PubR,"$76,000 ",
2019,Syracuse University,196413,Waitlisted then not accepted,3.13,,1360,670,690,,,,,Undecided - Liberal Arts & Sciences,14,22,,MD, PubR,,
2019,Syracuse University,196413,Waitlisted,3.55,,,,,,29,,,Computer Science ,6,4,,NJ, PubR,,
2019,Syracuse University,196413,Accepted  ,3.4,1250,1260,570,690,,27,,,Biochemistry   ,10,19,,MA,PubA,,
2019,Syracuse University,196413,Not Accepted,3.03,1090,1120,560,560,,,,,Music - Musical Theatre,4,4,,CA, PubR,,
2018,Syracuse University,196413,Accepted  ,3.6,,,720,700,,27,,,Communication,,,,CA, PubR,,
2019,Syracuse University,196413,Waitlisted,3.35,,,,,,31,,,Political Science,10,8,,WA, PubR,,
2019,Syracuse University,196413,Waitlisted,3.69,,,670,620,,,,,Journalism - Broadcast and Digital,12,14,,NY,PrivA,,
2018,Syracuse University,196413,Accepted  ,3.7,,,,,,31,,,Undecided - Liberal Arts & Sciences,5,7,EA  ,NY, PubR,,checked
2019,Syracuse University,196413,Accepted  ,3.78,,,,,,30,,,Journalism - Broadcast,8,10,,CA, PubR,,
2018,Syracuse University,196413,Not Accepted,2.63,,,,,,28,,,Theater - Acting,4,18,,IL, PubR,,checked
2019,Syracuse University,196413,Accepted  ,3.35,1200,1240,560,680,,,,,Psychology,14,0,,,PrivA,,
2019,Syracuse University,196413,Accepted  ,3.6,,,,,,33,,,Music - Industry,8,8,,CT, PubR,,
2018,Syracuse University,196413,Accepted  ,3.91,,1490,710,780,,,790,,Architecture,,,,NJ, PubR,,checked
2016,Syracuse University,196413,Accepted  ,3.17,,,,,,,720,710,,12,14,,NJ, PubR,,
2017,Syracuse University,196413,Accepted  ,3.5,,,,,,,,,Communication,14,10,,CT, PubR,,
2017,Syracuse University,196413,Accepted  ,3.37,,,,,,,,,Neuroscience,9,19,,CA, PubR,,
2019,Syracuse University,196413,Accepted  ,4,1520,1520,720,800,,,,,Engineering ,16,24,,MA, PubR,,
2018,Syracuse University,196413,Accepted  ,3.48,,1350,660,690,,,,,Undecided - Liberal Arts & Sciences,0,6,,CT, PubR,,checked
2018,Syracuse University,196413,Accepted  ,3.23,,,,,,22,,,Undecided - Liberal Arts & Sciences,0,0,,CA,PrivR,,
2019,Syracuse University,196413,Accepted  ,3.36,,,,,,,,,Business - Finance,6,26,EA  ,MA, PubR,,checked
2017,Syracuse University,196413,Accepted  ,3.5,,,,,,,,,Journalism,,,,CT, PubR,,
2016,Syracuse University,196413,Accepted  ,3.68,,,,,,,640,520,Business   ,14,10,,WA,PubA,,
2019,Syracuse University,196413,Accepted  ,3.57,,,620,610,,28,,,Art,16,2,,CA,PubA,,
2018,Syracuse University,196413,Accepted  ,4,,1440,680,760,,,,,Engineering - Civil,8,4,,CA, PubR,,checked
2018,Syracuse University,196413,Accepted  ,3.18,,1450,770,680,,,,,Undecided,14,28,,TX,PrivR,,
2018,Syracuse University,196413,Accepted  ,3.1,,,570,600,,,,,Pre - Med,,,,CA, PubR,,checked
2019,Syracuse University,196413,Not Accepted,3.33,1300,1300,640,660,,,,,Business - Undecided,0,6,,NJ, PubR,,
2018,Syracuse University,196413,Accepted  ,3.5,,1320,680,640,,28,,,Journalism - Broadcast,2,,,MA, PubR,,
2016,Syracuse University,196413,Accepted  ,3.33,,,,,,,,,,11,6,,CA, PubR,,
2016,Syracuse University,196413,Waitlisted,2.5,,1690,560,640,490,,,,,2,,,,PrivR,,
2018,Syracuse University,196413,Accepted  ,3,,,,,,31,,,Art - Visual Arts,,,,CA,PubA,,
2019,Syracuse University,196413,Accepted  ,3.9,,,,,,32,,,Communication,4,3,,CT, PubR,,
2016,Syracuse University,196413,Accepted  ,3.96,,,,,,,660,620,,10,4,,WA, PubR,,checked
2017,Syracuse University,196413,Accepted  ,3.81,,1410,690,720,,,,,Architecture,,,,CT, PubR,,
2017,Syracuse University,196413,Accepted  ,3.89,,1330,670,660,,,,,Theater - Stage Mgmt,8,10,,CA, PubR,,
2019,Syracuse University,196413,Accepted  ,3.78,,,,,,30,,,Sports - Management,8,14,,NJ,PubA,"$100,000 ",
2017,Syracuse University,196413,Accepted  ,3.6,,,,,,,,,Undecided,6,0,ED ,NY,PubA,,
2016,Syracuse University,196413,Accepted  ,4,,,,,,,760,720,Communication - Design,,,,NJ, PubR,,checked
2017,Syracuse University,196413,Accepted  ,3.73,,1250,660,590,,,,,Art - Illustration,,6,,NJ,PrivR,,
2018,Syracuse University,196413,Accepted  ,3.92,,,700,710,,,680,650,Undecided,18,14,,CA, PubR,"$80,000 ",checked
2016,Syracuse University,196413,Not Accepted,2.9,,2020,720,730,570,,,,Business - Finance,,4,,MA, PubR,,
2019,Syracuse University,196413,Accepted  ,2.95,,,,,,24,,,Political Science,12,4,,WA,PubA,,
2019,Syracuse University,196413,Waitlisted,3.93,,,,,,34,,,Communication,14,18,,CT,PubA,,
2016,Syracuse University,196413,Accepted  ,3.34,,1900,640,640,620,,,,English  ,16,6,,CA, PubR,,
2017,Syracuse University,196413,Accepted  ,3.17,,1870,680,570,690,,,,Art - Graphic Design,8,8,ED ,NJ, PubR,,
2018,Syracuse University,196413,Accepted  ,3.63,,,,,,32,610,560,Undecided - Liberal Arts & Sciences,6,6,,CA, PubR,,
2019,Syracuse University,196413,Accepted  ,4,,1430,650,780,,,700,,Biology  ,14,,,CA, PubR,,checked
2018,Syracuse University,196413,Accepted  ,3.87,,1470,750,720,,,,,Film ,15,10,,CA, PubR,,checked
2019,Syracuse University,196413,Accepted  ,3.33,,,,,,34,,,Computer Science ,,,,CA,PubA,,
2015,Syracuse University,196413,Accepted  ,3.95,,,,,,,,,International Studies,10,12,,CA,PrivR,,checked
2017,Syracuse University,196413,Waitlisted,3.5,,1370,650,720,,,,,Political Science,4,2,,NY,PubA,,
2019,Syracuse University,196413,Accepted  ,3.2,,,610,620,,,,,Business   ,0,0,,,PrivR,,
2017,Syracuse University,196413,Not Accepted,3,,,,,,,,,Undecided - Health Sciences,,,,CT, PubR,,
2017,Syracuse University,196413,Waitlisted,3.5,,,,,,,630,,Music - Business,,20,,NJ,PrivA,,
2016,Syracuse University,196413,Not Accepted,2.4,,1650,600,550,500,,,,,4,,,NY,PubA,,
2018,Syracuse University,196413,Accepted  ,3.82,,1480,720,760,,,750,,Engineering - Biomedical,18,27,,TX,PrivR,"$112,000 ",checked
2015,Syracuse University,196413,Accepted  ,3.85,1960,2010,650,640,720,,,,Business   ,10,,,CA,PrivA,,
2019,Syracuse University,196413,Accepted  ,3.61,1090,1130,560,570,,,,,Communication,,4,,NJ,PrivA,,
2018,Syracuse University,196413,Accepted  ,3.8,,,,,,33,,,Psychology,8,6,,NY, PubR,,checked
2018,Syracuse University,196413,Accepted  ,3,,1230,630,600,,,,,Undecided,0,4,EA  ,CT, PubR,,
2018,Syracuse University,196413,Accepted  ,3.29,,1320,660,660,,,,,Theater - Stage Mgmt,10,4,,CA,PrivR,,checked
2019,Syracuse University,196413,Accepted  ,3.71,,,,,,35,760,,Engineering - Computer ,24,28,,CA,PrivR,,checked
2015,Syracuse University,196413,Accepted  ,3.35,,,,,,,,,Education ,10,8,,CA, PubR,"$72,000 ",
2019,Syracuse University,196413,Accepted  ,3,,,,,,28,,,Business   ,,,ED ,NJ,PrivR,,
2018,Syracuse University,196413,Accepted  ,3.47,,,,,,24,,,Business   ,4,4,,CA, PubR,,checked
2018,Syracuse University,196413,Not Accepted,2.94,,1080,560,520,,,,,Undecided,0,2,ED II,NY,PubA,,checked
2017,Syracuse University,196413,Accepted  ,3.68,,,,,,,,,Public Health ,14,4,,CA, PubR,,
2017,Syracuse University,196413,Accepted  ,3.9,,,,,,30,690,,Communication,9,,,CA,PubA,,
2019,Syracuse University,196413,Accepted  ,3.6,1320,,660,660,,,,,Psychology,4,7,,CT, PubR,,
2019,Syracuse University,196413,Accepted  ,2.7,,1380,670,710,,,,,Sports - Management,8,21,,CT,PubA,,
2018,Syracuse University,196413,Accepted  ,3.38,,,700,720,,,770,,Business - Management ,8,22,,MA, PubR,,checked
2018,Syracuse University,196413,Accepted  ,3.1,,,,,,27,,,Undecided - Liberal Arts & Sciences,4,3,,MA, PubR,,
2019,Syracuse University,196413,Accepted  ,3,1130,,560,570,,,,,Education ,0,0,,CT,PubA,,
2019,Syracuse University,196413,Accepted  ,,,1260,620,640,,26,,,Psychology,10,8,,NY,PubA,,
2016,Syracuse University,196413,Accepted  ,4,,2050,680,690,680,,740,630,Journalism - Broadcast and Digital,9,,,TX,PubA,"$60,000 ",
2018,Syracuse University,196413,Accepted  ,3.4,,1220,580,640,,,,,Biochemistry   ,6,,,MA, PubR,,checked
2015,Syracuse University,196413,Accepted  ,3.2,1820,,620,590,650,,,,Health Science,2,14,,MA, PubR,,
2018,Syracuse University,196413,Accepted  ,3.66,,,,,,33,770,700,Business - Finance,14,16,,CA,PrivR,"$60,000 ",
2016,Syracuse University,196413,Accepted  ,3.54,,,,,,,760,,Psychology,14,14,,CA, PubR,,
2017,Syracuse University,196413,Waitlisted,3.13,,1410,480,450,480,,,,Theater - Acting,2,0,,NY,PrivA,,
2019,Syracuse University,196413,Accepted  ,3.5,,,,,,24,,,Social Work,0,34,,FL,PrivA,"$40,000 ",
2016,Syracuse University,196413,Accepted  ,2.8,,,,,,,,,,12,10,,CA, PubR,,
2019,Syracuse University,196413,Accepted  ,3.72,,,,,,31,,,Journalism - Broadcast and Digital,6,0,,CA, PubR,,
2018,Syracuse University,196413,Accepted  ,3.41,,,,,,28,,,Undecided,9,4,,CA, PubR,,checked
2017,Syracuse University,196413,Accepted  ,3.2,,,,,,,,,Business - Sports Management,6,0,,TX, PubR,,
2018,Syracuse University,196413,Waitlisted,3.47,,1170,590,580,,,,,English  ,2,4,,CT, PubR,,checked
2017,Syracuse University,196413,Accepted  ,4,,1470,710,760,,,740,730,Computer Science ,,,,CT, PubR,,
2016,Syracuse University,196413,Accepted  ,3.8,,,,,,,,,Business - Finance,6,4,,WA, PubR,,
2016,Syracuse University,196413,Accepted  ,3.07,,2000,630,740,630,,,,Business - Finance,,,,CA, PubR,,
2018,Syracuse University,196413,Accepted  ,3.8,,,,,,30,,,Business   ,1,2,,NJ, PubR,"$40,000 ",
2016,Syracuse University,196413,Accepted  ,3.5,,1680,550,590,540,,570,560,Pre - Med,3,,,,PrivR,,
2019,Syracuse University,196413,Accepted  ,3.4,,,,,,32,,,Political Science,10,6,,NJ, PubR,,
2017,Syracuse University,196413,Accepted  ,3.95,,,,,,,,,Business - Accounting/Actuarial Science,22,12,,CA, PubR,,
2016,Syracuse University,196413,Accepted  ,3.3,,,,,,,,,Education ,2,,,CA,PrivA,"$60,000 ",
2016,Syracuse University,196413,Not Accepted,3.4,,,,,,,,,Communication - Public Relations,,,,NY,PrivA,,
2018,Syracuse University,196413,Accepted  ,3.79,,,,,,29,,,Business   ,8,8,,CT, PubR,,checked
2015,Syracuse University,196413,Accepted  ,3.84,,,,,,,,,Psychology,12,26,,NC, PubR,,checked
2017,Syracuse University,196413,Accepted  ,3.68,,1980,620,690,670,,,,Business - Advertising,2,24,,NJ,PubA,,
2016,Syracuse University,196413,Accepted  ,3.92,,,,,,,,,Engineering - Mechanical ,2,,,NJ, PubR,"$60,000 ",
2017,Syracuse University,196413,Waitlisted,2.95,,1270,670,600,,,,,Undecided,11,8,,CA, PubR,"$40,000 ",
2016,Syracuse University,196413,Accepted  ,3.37,,2010,660,660,690,,,,Business   ,8,4,,WA, PubR,"$40,000 ",
2019,Syracuse University,196413,Accepted  ,3.32,,1330,730,600,,,,,,8,4,,CA, PubR,,
2017,Syracuse University,196413,Accepted  ,2.8,,,,,,,,,Forensic Science,10,0,,TX, PubR,,
2016,Syracuse University,196413,Accepted  ,3.9,,2040,680,680,680,,730,,,18,8,,CA, PubR,,
2015,Syracuse University,196413,Accepted  ,3.54,,,,,,,,,Engineering ,6,10,,CA, PubR,,checked
2017,Syracuse University,196413,Accepted  ,4,,,,,,32,700,680,Economics ,10,10,,CA, PubR,,
2018,Syracuse University,196413,Accepted  ,3.64,,,,,,33,,,Business - Communications,3,7,EA  ,NJ, PubR,,
2018,Syracuse University,196413,Not Accepted,3.29,,,750,760,,,,,Business - Marketing,0,2,,MA, PubR,,
2017,Syracuse University,196413,Accepted  ,3.16,,2050,800,580,670,,,,Undecided,3,21,,CA,PrivA,,
2019,Syracuse University,196413,Accepted  ,3.7,,,,,,34,,,Business - Entrepreneurship,4,15,,CT,PubA,,
2015,Syracuse University,196413,Not Accepted,2.89,1530,1530,520,540,470,,,,Communication,2,,,CT,PrivR,,
2016,Syracuse University,196413,Accepted  ,3.52,,2080,700,690,690,,680,640,,24,,,WA,PubA,,
2019,Syracuse University,196413,Accepted  ,3.78,,,,,,34,780,,Engineering - Aero,12,14,,OH, PubR,,
2016,Syracuse University,196413,Accepted  ,3.6,,,,,,,,,,2,,,CA, PubR,,
2018,Syracuse University,196413,Accepted  ,3.96,,,670,760,,,,,Biology  ,6,26,,MA, PubR,"$80,000 ",checked
2016,Syracuse University,196413,Accepted  ,3.39,,,,,,,,,Chemistry,7,4,,CA,PubA,"$80,000 ",
2019,Syracuse University,196413,Accepted  ,3.6,1300,1300,600,700,,,,,Computer Science ,4,32,,MA,PubA,,
2015,Syracuse University,196413,Accepted  ,3.42,1790,1790,590,620,580,,,,Undecided,0,0,,NJ,PubA,,checked
2018,Syracuse University,196413,Accepted  ,3.8,,1390,690,700,,,720,,Business   ,18,8,,CA, PubR,,
2019,Syracuse University,196413,Deferred then withdrew,3.75,,,,,,25,,,Psychology,14,4,,NY, PubR,,
2019,Syracuse University,196413,Accepted  ,3.67,,,,,,32,,,Fashion Merchandising,10,6,,NY, PubR,,
2018,Syracuse University,196413,Accepted  ,3.2,,1180,640,540,,24,,,Undecided,1,0,EA  ,CT, PubR,,
2018,Syracuse University,196413,Accepted  ,3.75,,1330,690,640,,31,,,International Studies,16,18,,MD, PubR,,checked
2018,Syracuse University,196413,Accepted  ,3,,1250,700,550,,,,,Public Health ,3,1,EA  ,CT, PubR,,
2015,Syracuse University,196413,Accepted  ,3.72,,,,,,,,,Undecided,6,9,,MA, PubR,,
2018,Syracuse University,196413,Accepted  ,3.9,,,,,,26,,,Biology  ,6,6,,NY, PubR,,checked
2015,Syracuse University,196413,Accepted  ,3.28,1710,1710,560,640,510,,,,Business   ,2,3,,CT, PubR,,checked
2020,Syracuse University,196413,Accepted  ,4,1550,1550,780,770,,,730,720,Biology ,24,28,,TX,PubA,,
2020,Syracuse University,196413,Accepted  ,3.64,1180,1180,600,580,,,,,Biology ,12,,,CA,PubA,$0 ,checked
2020,Syracuse University,196413,Accepted  ,3.2,,,,,,31,,,Business  ,3,1,ED ,NJ,PrivA,,
2020,Syracuse University,196413,Withdrawn,3.7,,,,,,31,,,Undecided,4,4,,NJ, PubR,,
2020,Syracuse University,196413,Accepted  ,4,,1430,720,710,,,760,,Engineering - Bioengineering,28,8,,MD, PubR,"$112,000 ",
2020,Syracuse University,196413,Withdrawn,3.38,1480,1480,700,780,,,,,Political Science,26,16,,TX,PubA,,
2020,Syracuse University,196413,Withdrawn,4,1430,1480,800,680,,,,,Political Science,6,17,REA,TX,PubA,,
2020,Syracuse University,196413,Withdrawn,3,,,,,,28,,,Business - Sports Management,6,2,,NJ,PrivR,,
2020,Syracuse University,196413,Waitlisted,3.9,,1270,630,640,,,,,Business  ,8,16,,FL, PubR,,
2020,Syracuse University,196413,Accepted  ,0,,,,,,30,,,Design,0,0,,MA,PrivA,"$60,000 ",
2020,Syracuse University,196413,Accepted  ,3.2,1200,1200,630,570,,,,,Music - Business,,6,,CA,PubA,"$88,000 ",checked
2020,Syracuse University,196413,Waitlisted,3.4,,1290,640,650,,28,,,Music,10,,,GA,PrivR,,checked
2020,Syracuse University,196413,Withdrawn,3.72,,,,,,,,,Finance,4,,,NY,PubA,,
2020,Syracuse University,196413,Withdrawn,3.3,,,,,,30,,,Psychology ,4,6,,CT, PubR,,
2020,Syracuse University,196413,Accepted  ,4,1410,1420,690,730,,,,,Fashion Merchandising,10,2,,CA, PubR,,
2020,Syracuse University,196413,Accepted  ,3.67,,1400,700,700,,,770,710,Engineering ,6,6,,CA,PrivR,"$20,000 ",
2020,Syracuse University,196413,Not Accepted,2.7,,1200,570,630,,,,,Undecided,4,2,ED ,CT, PubR,,
2020,Syracuse University,196413,Accepted  ,3.42,,,,,,32,,,Biology ,15,8,,TX,PrivR,,
2020,Syracuse University,196413,Accepted  ,3.37,1400,,670,730,,,,,Business  ,12,10,,OH, PubR,"$112,000 ",
2020,Syracuse University,196413,Withdrawn,2.9,1230,1230,600,630,,,,,Undecided,6,6,EA  ,NJ, PubR,,
2020,Syracuse University,196413,Accepted  ,3.4,,,,,,32,,,Computer Science ,2,4,,CT, PubR,,
2020,Syracuse University,196413,Accepted  ,3.33,,,,,,26,,,Undecided,4,8,,MA, PubR,,
2020,Syracuse University,196413,Accepted  ,3.94,,,,,,28,,,Undecided - Liberal Arts & Sciences,2,,,NY,PubA,,
2020,Syracuse University,196413,Accepted  ,3.75,,,,,,32,,,,14,16,,NJ, PubR,"$112,000 ",
2020,Syracuse University,196413,Accepted  ,3.64,,,,,,30,,,Undecided - Business,28,2,,NY, PubR,"$132,000 ",
2020,Syracuse University,196413,Accepted  ,3.2,,,,,,28,,,Communication,,,ED II,NJ,PrivR,,
2020,Syracuse University,196413,Accepted  ,3.6,1060,1080,550,530,,27,,,Business  ,4,2,,CA,PrivA,,
2020,Syracuse University,196413,Accepted  ,3.5,,,,,,31,,,,0,0,,CA,PrivR,,
2020,Syracuse University,196413,Not Accepted,3.36,,,,,,30,,,Business - Music,8,10,,MA, PubR,,
2020,Syracuse University,196413,Accepted  ,3.36,,,,,,30,,,Undecided,8,10,,MA, PubR,,
2020,Syracuse University,196413,Accepted  ,3.9,,,,,,34,,,Journalism,12,22,,CT, PubR,,
2020,Syracuse University,196413,Alternate Admission,3.13,,1290,730,560,,,600,670,Film  ,6,22,,MA, PubR,,
2020,Syracuse University,196413,Accepted  ,3.67,,,,,,30,,,Art - Graphic Design,8,2,,TX,PrivR,,checked
2020,Syracuse University,196413,Accepted  ,3.31,1190,1190,560,630,,25,,,Spanish,2,8,,NJ,PubA,,
2020,Syracuse University,196413,Accepted  ,3.38,,,,,,32,,,Public Relations,12,30,,NJ, PubR,"$60,000 ",
2020,Syracuse University,196413,Accepted  ,3.31,,,,,,29,,,Music - Industry,8,,,CA, PubR,,
2020,Syracuse University,196413,Accepted  ,2.88,,1000,530,470,,21,,,Business  ,0,0,EA  ,CA,PubA,,
2020,Syracuse University,196413,Withdrawn,3.6,,,,,,29,,,Undecided,,,,NY,PrivA,,
2020,Syracuse University,196413,Withdrawn,3.5,,,,,,29,,,Business  ,2,2,,NJ, PubR,,
2020,Syracuse University,196413,__ Not reported,3.2,,1270,620,650,,,,,Psychology ,10,4,,CA, PubR,,checked
2020,Syracuse University,196413,Accepted  ,3.5,,,,,,32,590,580,Undecided,24,10,,CA, PubR,"$60,000 ",
2020,Syracuse University,196413,Accepted  ,3,,,,,,23,,,Undecided,4,0,EA  ,CT, PubR,,
2020,Syracuse University,196413,Accepted  ,3.45,,,,,,27,,,International Relations,16,4,,CA, PubR,,checked
2020,Syracuse University,196413,Accepted  ,3.7,,,,,,33,,,Communication,12,,,NJ,PrivR,"$112,000 ",checked
2020,Syracuse University,196413,Accepted  ,3.15,,1380,700,680,,,,,,6,0,,CA,PrivR,,
2020,Syracuse University,196413,Withdrawn,3.63,1450,1460,730,730,,,,,Communication Studies,8,12,,NJ, PubR,,
2020,Syracuse University,196413,Withdrawn,3.73,1300,1310,650,660,,,,,Psychology ,16,16,,CA,PrivR,,
2020,Syracuse University,196413,Accepted  ,3.66,,1350,590,760,,,,,Computer Science ,8,4,,CA, PubR,"$40,000 ",
2020,Syracuse University,196413,Accepted  ,3.66,,,,,,31,,,Communication,14,,,NJ,PrivR,,
2020,Syracuse University,196413,Accepted  ,3.07,,,,,,28,,,International Relations,12,10,,NJ, PubR,,
2020,Syracuse University,196413,Waitlisted,3.92,1220,1220,640,580,,27,,,Business - Finance,18,4,,TX,PrivR,,checked
2020,Syracuse University,196413,Accepted  ,4,,1510,710,800,,,790,,Business - Management,14,,,NY, PubR,"$112,000 ",
2018,Tarleton State University,228529,Accepted  ,3.36,,1080,540,540,,,,,Undecided,6,2,,TX,PubA,,checked
2018,Tarleton State University,228529,Accepted  ,3.14,,1130,560,570,,,,,Business - Construction Mgmt,2,8,,TX, PubR,,checked
2020,Tarleton State University,228529,Accepted  ,3.3,1140,1160,610,550,,,,,Biology - Pre Vet,2,8,,TX,PrivA,,checked
2019,Temple University,216339,Accepted  ,2.87,,,,,,26,,,Sports - Management,0,2,,CA,PrivR,,
2015,Temple University,216339,Accepted  ,3.29,1500,,530,500,550,,,,Psychology,2,0,,MA, PubR,,checked
2019,Temple University,216339,Accepted  ,3.59,,,,,,26,,,Political Science,14,6,EA  ,WA,PubA,,
2019,Temple University,216339,Accepted  ,3.2,1190,1190,560,630,,,,,Undecided - Engineering,3,9,,NY,PubA,,
2019,Temple University,216339,Accepted  ,4,1390,1420,710,710,,,,,Undecided,20,8,EA  ,WA, PubR,"$112,000 ",
2019,Temple University,216339,Accepted  ,3.7,,1330,630,700,,,,,Undecided,6,14,EA  ,CT, PubR,,checked
2019,Temple University,216339,Accepted  ,3.63,1230,1280,640,640,,,,,Business - Undecided,,3,EA  ,NC,PubA,,
2016,Temple University,216339,Accepted  ,3.09,,1860,630,560,670,,640,520,,8,12,EA  ,NJ, PubR,,
2017,Temple University,216339,Deferred then accepted,2.95,,,,,,,,,Film ,0,0,EA  ,NJ, PubR,,
2016,Temple University,216339,Accepted  ,3.4,,1720,550,560,610,,,,Dance,2,34,EA  ,MA, PubR,,
2017,Temple University,216339,Accepted  ,2.75,,1810,590,630,590,,,,Business - Management ,6,28,EA  ,MA,PrivA,,
2019,Temple University,216339,Accepted  ,3.54,1470,1490,710,780,,,710,,Public Health ,20,14,EA  ,CA,PrivR,"$72,000 ",
2018,Temple University,216339,Accepted  ,3.45,,1370,630,740,,,,,Business   ,12,22,EA  ,NJ,PrivA,,checked
2018,Temple University,216339,Accepted  ,2.95,,1200,620,580,,,,,Undecided,2,4,,CA, PubR,,checked
2019,Temple University,216339,Accepted  ,3.2,,,610,620,,,,,Business   ,0,0,EA  ,,PrivR,,
2017,Temple University,216339,Accepted  ,3.64,,1200,610,590,,,,,,6,18,,NY, PubR,,
2017,Temple University,216339,Not Accepted,3.67,,1690,600,470,620,,,,Biochemistry   ,16,20,,TX, PubR,,
2017,Temple University,216339,Accepted  ,3.5,,1350,650,700,,,700,640,Political Science,12,0,EA  ,D.C., PubR,,
2017,Temple University,216339,Accepted  ,3.9,,1370,680,690,570,,710,690,Business   ,10,17,EA  ,NC, PubR,,
2018,Temple University,216339,Accepted  ,3.76,,1440,730,710,,,,,Pre - Vet,4,0,,NJ,Homeschool,,checked
2018,Temple University,216339,Accepted  ,3.48,,1350,660,690,,,,,Undecided,0,6,,CT, PubR,,checked
2019,Temple University,216339,Accepted  ,3.42,,1400,740,660,,,,,History,28,14,EA  ,MD, PubR,,
2017,Temple University,216339,Accepted  ,3.35,,1770,600,550,520,,,,Undecided,2,9,,PA, PubR,,
2019,Temple University,216339,Accepted  ,3.85,1420,1420,740,680,,,,,Biology  ,10,12,,NJ, PubR,,
2015,Temple University,216339,Accepted  ,3.42,1790,1790,590,620,580,,,,Undecided,0,0,,NJ,PubA,,
2017,Temple University,216339,Accepted  ,3.68,,1980,620,690,670,,,,Business - Advertising,2,24,EA  ,NJ,PubA,,
2017,Temple University,216339,Accepted  ,3.81,,,,,,34,790,710,,23,12,EA  ,OH, PubR,,
2018,Temple University,216339,Accepted  ,2.9,,1430,720,710,,,,,,24,,EA  ,MD,PrivR,,
2018,Temple University,216339,Accepted  ,3.5,,,,,,36,790,770,Environmental Science  ,8,12,EA  ,CT, PubR,"$72,000 ",
2018,Temple University,216339,Accepted  ,3.75,,,,,,32,,,Biology  ,18,20,EA  ,NJ, PubR,,
2017,Temple University,216339,Accepted  ,3.63,,,,,,,,,Engineering - Biomedical,,,EA  ,MI, PubR,,
2019,Temple University,216339,Accepted  ,3.8,,,720,750,,,,,Business - Sports Management,12,2,EA  ,,PrivR,,
2017,Temple University,216339,Accepted  ,3.67,,1340,670,670,650,,,,History,2,8,EA  ,CA,PrivR,,
2015,Temple University,216339,Accepted  ,3.9,2130,2130,780,610,740,,,,Neuroscience,14,,,NY, PubR,,checked
2018,Temple University,216339,Accepted  ,3.5,,,,,,33,,,Undecided,8,8,EA  ,CA, PubR,,
2017,Temple University,216339,Not Accepted,1.9,,1220,570,650,,,,,Kinesiology - Exercise Science,14,,EA  ,NC, PubR,,
2017,Temple University,216339,Accepted  ,3.12,,,,,,,,,Undecided,0,4,EA  ,NJ, PubR,,
2019,Temple University,216339,Accepted  ,3.24,,1210,610,600,,,,,Business - Sports Management,6,12,EA  ,TX,PrivA,,checked
2017,Temple University,216339,Waitlisted,2.6,,,,,,,,,Undecided - Liberal Arts & Sciences,,6,,MA, PubR,,
2015,Temple University,216339,Accepted  ,3.2,1820,,620,590,650,,,,Health Science,2,14,,MA, PubR,,checked
2016,Temple University,216339,Deferred  ,2.67,,1760,620,560,580,,,,Engineering - Computer ,18,,EA  ,TX, PubR,,
2017,Temple University,216339,Accepted  ,3.78,,1280,650,630,,,,,Undecided,4,3,,CA, PubR,,
2016,Temple University,216339,Accepted  ,3.5,,2090,700,700,690,,,,Journalism,4,10,,MA, PubR,,
2015,Temple University,216339,Accepted  ,3.37,1900,1900,580,690,630,,,,Business   ,2,29,,NJ, PubR,,checked
2019,Temple University,216339,Accepted  ,3.13,,1360,670,690,,,,,Undecided - Liberal Arts & Sciences,14,22,EA  ,MD, PubR,"$36,000 ",
2019,Temple University,216339,Accepted  ,3.6,1300,1300,600,700,,,,,Computer Science ,4,32,EA  ,MA,PubA,"$20,000 ",
2018,Temple University,216339,Accepted  ,3.48,,,680,670,,,,,Kinesiology - Physical Therapy,2,34,EA  ,MA, PubR,"$20,000 ",
2018,Temple University,216339,Not Accepted,3.75,,,,,,32,,,Biology - Accelerated Med,18,20,EA  ,NJ, PubR,,
2017,Temple University,216339,Accepted  ,,,,,,,,,,Undecided,,,,CT,PrivA,"$20,000 ",
2020,Temple University,216339,Accepted  ,,,,,,,31,,,Economics ,8,10,,CT, PubR,"$100,000 ",
2020,Temple University,216339,Accepted  ,4,,1310,650,660,,,,,Undecided - Health Sciences,12,8,,NJ,PubA,"$20,000 ",
2020,Temple University,216339,Accepted  ,3.31,1190,1190,560,630,,25,,,Spanish,2,8,EA  ,NJ,PubA,,
2020,Temple University,216339,Accepted  ,2.9,,,,,,28,,,Communication,,4,,NJ,PubA,,
2020,Temple University,216339,Accepted  ,3.7,1360,1360,670,690,,,,,Theater - Design and Production,2,22,EA  ,MD,PubA,,
2020,Temple University,216339,Accepted  ,3.6,,,,,,27,,,,,,EA  ,CA, PubR,,
